store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,enable_googlecheckout,tax_class_id,description,short_description,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Favor,simple,60,259868,0,Hollywood Black Felt Gangster Hat,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,250,,,,Enabled,No,"Catalog, Search",Yes,Shipping,Be a smooth operator at the party! Black Felt Gangster Hat is a plastic fedora with a 2in brim and an exterior that looks like felt. Black Gangster Hat measures 4 1/2in high x 7 3/4in in diameter. One size Gangster Hat fits most law-breaking heads.,Be a smooth operator at the party! Black Felt Gangster Hat is a plastic fedora with a 2in brim and an exterior that looks like felt. Black Gangster Hat measures 4 1/2in high x 7 3/4in in diameter. One size Gangster Hat fits most law-breaking heads.,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Hollywood Black Felt Gangster Hat,0,simple,,
admin,base,Favor,simple,60,259874,0,Tiara Elecrtoplated Sweet 16,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,375,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Nothing can top this birthday for a young lady turning 16, except this Sweet 16 sparkle tiara! Tiara features a pink electroplated crown with a black marabou border and a ""Sweet Sixteen"" headline. 3 1/2in x 4 1/2in.","Nothing can top this birthday for a young lady turning 16, except this Sweet 16 sparkle tiara! Tiara features a pink electroplated crown with a black marabou border and a ""Sweet Sixteen"" headline. 3 1/2in x 4 1/2in.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Tiara Elecrtoplated Sweet 16,0,simple,,
admin,base,Favor,simple,60,259877,0,"Pirates Treasure Hat 7""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,250,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"Pirates Treasure Hat 7""",0,simple,,
admin,base,Favor,simple,64,259878,0,Pirate Treasure Plastic Hat,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,250,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Shiver me timbers, a party awaits! Grab yer cap and get ready to jump ship! Our shiny, black Pirate's Treasure Party Hat features a bright red trim with a skull and crossbones on the front. This fun Party Hat has a comfortable, elastic band attached to secure to head. A must-have accessory for your pirate party! Plastic Pirate's Treasure Party Hat fits most children ages 3 and up.","Shiver me timbers, a party awaits! Grab yer cap and get ready to jump ship! Our shiny, black Pirate's Treasure Party Hat features a bright red trim with a skull and crossbones on the front. This fun Party Hat has a comfortable, elastic band attached to secure to head. A must-have accessory for your pirate party! Plastic Pirate's Treasure Party Hat fits most children ages 3 and up.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pirate Treasure Plastic Hat,0,simple,,
admin,base,Favor,simple,37,259907,0,Hat Mini Top Mardi Gras,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,299,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Add a little glitz to your Mardi Gras celebration! Our Mini Mardi Gras Top Hat is a layered in dazzling gold glitter with a purple foil hat band and die-cut green foil ""Mardi Gras"" headline. A white elastic band holds this fun accessory in place to make your evening a hands-free party romp! Mini Mardi Gras Top hat measures 4 1/2in x 4 1/4in x 2 1/8in high in the crown.","Add a little glitz to your Mardi Gras celebration! Our Mini Mardi Gras Top Hat is a layered in dazzling gold glitter with a purple foil hat band and die-cut green foil ""Mardi Gras"" headline. A white elastic band holds this fun accessory in place to make your evening a hands-free party romp! Mini Mardi Gras Top hat measures 4 1/2in x 4 1/4in x 2 1/8in high in the crown.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Hat Mini Top Mardi Gras,0,simple,,
admin,base,Favor,simple,10,259949,0,Prismatic Foil Tiara Glitzy Girl,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,400,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Add some glitz and glam to your diva image with our Glitzy Girl Foil Tiaras! Package includes 8 tiaras, each measuring 7in tall. Tiaras feature a centered prismatic flower. A fun alternative to the typical party hat!","Add some glitz and glam to your diva image with our Glitzy Girl Foil Tiaras! Package includes 8 tiaras, each measuring 7in tall. Tiaras feature a centered prismatic flower. A fun alternative to the typical party hat!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Prismatic Foil Tiara Glitzy Girl,0,simple,,
admin,base,Favor,simple,17,259951,0,Garden Girl Tiaras,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,475,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Quit buggin'! Our Our Garden Girl Tiaras are made for your party! Package includes 8 paper tiaras, each measuring 7in. Tiaras feature a foil headband with an attached colorful sturdy paper ladybug antenna and glitter accents. Perfect for birthday parties, theme parties and more!","Quit buggin'! Our Our Garden Girl Tiaras are made for your party! Package includes 8 paper tiaras, each measuring 7in. Tiaras feature a foil headband with an attached colorful sturdy paper ladybug antenna and glitter accents. Perfect for birthday parties, theme parties and more!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Garden Girl Tiaras,0,simple,,
admin,base,Favor,simple,60,270050,0,Complete the Task Bachelorette Game,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,450,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Itching for some girls night out fun? You've got to try this Scratch a Dare Bachelorette Party Game! Scratch a Dare game is outrageous fun for a bachelorette party or girls night out. Sratch out the kiss marks on the cards to reveal the daring tasks: the ""what"", the ""who"" and the ""how""! Then have fun seeing who will step up to the challenge. Package includes 12 Scratch a Dare cards.","Itching for some girls night out fun? You've got to try this Scratch a Dare Bachelorette Party Game! Scratch a Dare game is outrageous fun for a bachelorette party or girls night out. Sratch out the kiss marks on the cards to reveal the daring tasks: the ""what"", the ""who"" and the ""how""! Then have fun seeing who will step up to the challenge. Package includes 12 Scratch a Dare cards.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Complete the Task Bachelorette Game,0,simple,,
admin,base,Favor,simple,32,270051,0,How Well Do You Know the Bachelorette Game,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,550,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Think you know her best? Find out with this bachelorette party game! The How Well Bachelorette Party Game tests friends’ knowledge of the Bride-to-Be’s habits, tastes and history. 52-card deck has a question on each card for the guests to try to answer before the Bride-to-Be tells her answer. For an unlimited number of players.","Think you know her best? Find out with this bachelorette party game! The How Well Bachelorette Party Game tests friends’ knowledge of the Bride-to-Be’s habits, tastes and history. 52-card deck has a question on each card for the guests to try to answer before the Bride-to-Be tells her answer. For an unlimited number of players.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,How Well Do You Know the Bachelorette Game,0,simple,,
admin,base,Favor,simple,4,275000,0,Kiss The Stud Game,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,650,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Bachelorette, game on! This Kiss the Stud Party Game puts a sexy spin on a traditional party game. Have blindfolded guests spin around and try to stick the kiss to the appropriate part of the male cartoon figure - wherever that may be. Hilarious fun! Kiss the Stud Party Game includes 1 poster measuring 37in x 22in, with 12 kiss stickers and 1 blindfold.","Bachelorette, game on! This Kiss the Stud Party Game puts a sexy spin on a traditional party game. Have blindfolded guests spin around and try to stick the kiss to the appropriate part of the male cartoon figure - wherever that may be. Hilarious fun! Kiss the Stud Party Game includes 1 poster measuring 37in x 22in, with 12 kiss stickers and 1 blindfold.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Kiss The Stud Game,0,simple,,
